2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:22|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:23|app\commands\StreamController|N/A|INFO|Data received 
